DEPTH_0,Ga,Sn,C,DEPTH
2.04E+02,1.03E+05,4.65E+07,6.41E+07,4.00E-01
2.10E+02,1.75E+05,3.18E+07,1.37E+08,1.00E+00
2.16E+02,2.49E+05,1.68E+07,1.26E+08,1.60E+00
2.22E+02,2.80E+05,6.25E+06,1.09E+08,2.20E+00
2.28E+02,3.07E+05,2.77E+06,9.63E+07,2.80E+00
2.34E+02,2.97E+05,1.39E+06,8.72E+07,3.40E+00
2.40E+02,3.37E+05,7.95E+05,7.97E+07,4.00E+00
2.46E+02,3.34E+05,4.60E+05,7.32E+07,4.60E+00
2.52E+02,3.36E+05,2.65E+05,6.79E+07,5.20E+00
2.58E+02,3.43E+05,1.55E+05,6.24E+07,5.80E+00
2.64E+02,3.27E+05,9.25E+04,5.68E+07,6.40E+00
2.70E+02,3.31E+05,5.25E+04,5.17E+07,7.00E+00
2.76E+02,3.20E+05,2.58E+04,4.64E+07,7.60E+00
2.82E+02,3.20E+05,1.30E+04,4.12E+07,8.20E+00
2.88E+02,3.04E+05,6.50E+03,3.63E+07,8.80E+00
2.94E+02,2.81E+05,3.00E+03,3.16E+07,9.40E+00
3.00E+02,2.59E+05,5.00E+02,2.71E+07,1.00E+01
3.06E+02,2.30E+05,0.00E+00,2.32E+07,1.06E+01
3.12E+02,2.04E+05,1.67E+02,1.96E+07,1.12E+01
3.18E+02,1.84E+05,3.33E+02,1.64E+07,1.18E+01
3.24E+02,1.49E+05,0.00E+00,1.38E+07,1.24E+01
3.30E+02,1.35E+05,0.00E+00,1.13E+07,1.30E+01
3.36E+02,1.08E+05,0.00E+00,9.05E+06,1.36E+01
3.42E+02,8.68E+04,0.00E+00,7.12E+06,1.42E+01
3.48E+02,6.80E+04,0.00E+00,5.75E+06,1.48E+01
3.54E+02,5.22E+04,0.00E+00,4.49E+06,1.54E+01
3.60E+02,4.33E+04,0.00E+00,3.64E+06,1.60E+01
3.66E+02,3.45E+04,0.00E+00,2.81E+06,1.66E+01
3.72E+02,2.45E+04,0.00E+00,2.21E+06,1.72E+01
3.78E+02,1.97E+04,0.00E+00,1.70E+06,1.78E+01
3.84E+02,1.30E+04,0.00E+00,1.31E+06,1.84E+01
3.90E+02,1.13E+04,0.00E+00,1.02E+06,1.90E+01
3.96E+02,4.83E+03,0.00E+00,7.85E+05,1.96E+01
4.02E+02,5.83E+03,0.00E+00,5.97E+05,2.02E+01
4.08E+02,2.67E+03,0.00E+00,4.74E+05,2.08E+01
4.14E+02,1.33E+03,0.00E+00,3.94E+05,2.14E+01
4.20E+02,2.00E+03,0.00E+00,3.07E+05,2.20E+01
4.26E+02,6.67E+02,0.00E+00,2.48E+05,2.26E+01
4.32E+02,5.00E+02,0.00E+00,1.83E+05,2.32E+01
4.38E+02,5.00E+02,0.00E+00,1.29E+05,2.38E+01
4.44E+02,0.00E+00,0.00E+00,1.12E+05,2.44E+01
4.50E+02,1.67E+02,0.00E+00,8.72E+04,2.50E+01
4.56E+02,0.00E+00,0.00E+00,6.17E+04,2.56E+01
4.62E+02,0.00E+00,0.00E+00,4.23E+04,2.62E+01
4.68E+02,0.00E+00,0.00E+00,3.28E+04,2.68E+01
4.74E+02,0.00E+00,0.00E+00,1.83E+04,2.74E+01
4.80E+02,0.00E+00,0.00E+00,1.85E+04,2.80E+01
4.86E+02,0.00E+00,0.00E+00,9.17E+03,2.86E+01
4.92E+02,0.00E+00,0.00E+00,1.07E+04,2.92E+01
4.98E+02,0.00E+00,0.00E+00,6.33E+03,2.98E+01
5.04E+02,0.00E+00,0.00E+00,4.67E+03,3.04E+01
5.10E+02,0.00E+00,0.00E+00,2.17E+03,3.10E+01
5.16E+02,0.00E+00,0.00E+00,1.17E+03,3.16E+01
5.22E+02,0.00E+00,0.00E+00,1.00E+03,3.22E+01
5.28E+02,0.00E+00,0.00E+00,6.67E+02,3.28E+01
5.34E+02,0.00E+00,0.00E+00,1.67E+03,3.34E+01
5.40E+02,0.00E+00,0.00E+00,1.00E+03,3.40E+01
5.46E+02,0.00E+00,0.00E+00,1.00E+03,3.46E+01
5.52E+02,0.00E+00,0.00E+00,1.67E+02,3.52E+01
5.58E+02,0.00E+00,0.00E+00,0.00E+00,3.58E+01
5.64E+02,0.00E+00,0.00E+00,0.00E+00,3.64E+01
5.70E+02,0.00E+00,0.00E+00,0.00E+00,3.70E+01
5.76E+02,0.00E+00,0.00E+00,0.00E+00,3.76E+01
5.82E+02,0.00E+00,0.00E+00,0.00E+00,3.82E+01
5.88E+02,0.00E+00,0.00E+00,0.00E+00,3.88E+01
5.94E+02,0.00E+00,0.00E+00,0.00E+00,3.94E+01
6.00E+02,0.00E+00,0.00E+00,0.00E+00,4.00E+01
